photo_path,series,current_title,current_caption,current_story,visual_description,needs_title,needs_description,notes
/photos/misc-dsc04006.png,Misc,Still frame,,,Ripples on dark water catching low sunlight,no,yes,"Title is vague; needs a real description/story."
/photos/colombia-messcam-4794.png,Colombia,,,,A woman with curly hair smiling on a high-rise balcony with hazy mountains behind her,yes,yes,
/photos/spider-img-6545.png,Spider,Momma Wolfy,,"A momma wolf spider I saw and just _had_ to photograph. This shoot required a focus merge to be able to get so close and still have the entire spider in focus. It was probably the most difficult photoshoot I have done to date. Shot on my iPhone 13 Pro Max.",A momma wolf spider photographed up close,no,no,
/photos/misc-nicole.png,Misc,Nicole,Ocean light,My friend Nicole flexing her biceps at Kure Beach.,Nicole flexing her biceps at Kure Beach,no,no,"Could use a more specific title if you want less placeholder-like naming."
/photos/misc-img-1808.png,Misc,,,,A handstand on parallette bars in a driveway with trees in the background,yes,yes,
/photos/peru-img-1130.png,Peru,Twinergy,,Justin (one of my close friends) and I just before we left our 2nd Airbnb in Cusco Peru.,Justin and Keiryan before leaving an Airbnb in Cusco Peru,no,no,
/photos/misc-dsc07075.png,Misc,In motion,,,Portrait of a man wearing sunglasses near a bridge,no,yes,"Title is okay, but needs description/story."
/photos/spider-img-6569.png,Spider,,,,A wolf spider in the grass with spiderlings covering her back,yes,yes,
/photos/misc-img-1823.png,Misc,,,,A handstand on parallettes in the middle of a baseball diamond,yes,yes,
/photos/colombia-messcam-4797.png,Colombia,,,,A woman in a blue dress dancing on a balcony above a sprawling city skyline,yes,yes,
/photos/misc-img-9755.png,Misc,,,,A jet crossing an overcast sky with a contrail trailing behind it,yes,yes,
/photos/misc-img-9751.png,Misc,Through the clouds,,Shot on iPhone 15 Pro Max.,Plane cutting through heavy clouds,no,yes,"Current story is camera metadata, not really a description."
/photos/misc-img-0312.png,Misc,Somewhere green,,Standing in Miami with Justin just before boarding our flights to Peru.,Portrait of Keiryan smiling outdoors with a backpack,no,no,
/photos/spider-img-6582.png,Spider,,,,Macro close-up of a wolf spider's face with spiderlings riding on her back,yes,yes,
/photos/peru-img-0133.png,Peru,Sunset at La Playa,,A gorgeous burn of a sunset at the beach in Peru.,Sunset over the beach in Peru,no,no,
/photos/misc-dsc07909.png,Misc,,,,Black-and-white street portrait of a man resting on marble steps outside a storefront,yes,yes,
/photos/spider-img-6621.png,Spider,,,,A wolf spider facing the camera head-on with eyes in sharp focus,yes,yes,
/photos/misc-ben-2.png,Misc,A fire with friends,,A scene from a campfire with friends in Georgia.,A campfire with friends in Georgia,no,no,
/photos/misc-img-9612.png,Misc,A night in LA,,"LA is often painted as very glamorous in Hollywood. I guess that's because it is Hollywood. The reality off-screen is very different, however, and a night spent walking through LA will quickly teach you that.",Night street scene outside a storefront in Los Angeles,no,no,
/photos/misc-img-4418.png,Misc,,,,A smiling man with FPV drone goggles pushed up on his forehead with a green field behind him,yes,yes,
/photos/misc-img-0226.png,Misc,,,,Golden wild grass catching afternoon sun,yes,yes,
